CHANNEL,DIRECTION,M,B
1,1,0.7244110381433229,0.04711240474322631
1,-1,0.7682686535334945,-0.026824207897045555
2,1,0.7652294670267837,0.005505366208560366
2,-1,0.7602647242443243,-0.00021484255027366688
