IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      4,      5,  0.001,  0.000,  0.001,  0.046,  0.000,  0.017,  0.008
 -0.001,     61,     67,  0.011,  0.000,  0.006,  0.114,  0.000,  0.076,  0.076
 -0.001,    177,    189,  0.031,  0.000,  0.013,  0.156,  0.000,  0.101,  0.110
 -0.001,    342,    358,  0.059,  0.001,  0.017,  0.185,  0.000,  0.161,  0.169
 -0.001,    533,    556,  0.092,  0.001,  0.025,  0.205,  0.000,  0.178,  0.186
 -0.001,    742,    770,  0.128,  0.002,  0.030,  0.219,  0.000,  0.178,  0.186
 -0.001,    966,    999,  0.166,  0.004,  0.035,  0.228,  0.000,  0.186,  0.203
 -0.001,   1199,   1242,  0.206,  0.005,  0.046,  0.235,  0.000,  0.203,  0.203
 -0.001,   1440,   1490,  0.248,  0.007,  0.053,  0.240,  0.000,  0.203,  0.203
 -0.001,   1683,   1741,  0.289,  0.010,  0.062,  0.243,  0.000,  0.203,  0.211
 -0.001,   1932,   1995,  0.332,  0.012,  0.067,  0.245,  0.000,  0.220,  0.220
 -0.001,   2181,   2253,  0.375,  0.015,  0.077,  0.247,  0.000,  0.186,  0.186
 -0.001,   2436,   2516,  0.418,  0.019,  0.085,  0.248,  0.000,  0.228,  0.228
 -0.001,   2686,   2773,  0.461,  0.023,  0.093,  0.248,  0.000,  0.220,  0.211
 -0.001,   2936,   3035,  0.504,  0.027,  0.106,  0.249,  0.000,  0.220,  0.228
 -0.001,   3191,   3296,  0.547,  0.032,  0.112,  0.249,  0.000,  0.220,  0.228
 -0.001,   3440,   3554,  0.590,  0.037,  0.122,  0.249,  0.000,  0.211,  0.220
 -0.001,   3699,   3819,  0.634,  0.042,  0.128,  0.250,  0.000,  0.220,  0.228
 -0.001,   3953,   4082,  0.677,  0.048,  0.138,  0.250,  0.000,  0.211,  0.228
 -0.001,   4211,   4347,  0.721,  0.054,  0.145,  0.250,  0.000,  0.228,  0.237
 -0.001,   4367,   4503,  0.747,  0.058,  0.145,  0.000,  0.000,  0.042,  0.025
 -0.001,   4384,   4517,  0.750,  0.059,  0.142,  0.000,  0.000,  0.000,  0.008
 -0.001,   4392,   4523,  0.751,  0.059,  0.140,  0.000,  0.000,  0.000,  0.000
 -0.001,   4396,   4528,  0.752,  0.059,  0.141,  0.000,  0.000,  0.000,  0.000
 -0.001,   4398,   4530,  0.752,  0.059,  0.141,  0.000,  0.000,  0.000,  0.008
 -0.001,   4399,   4529,  0.752,  0.059,  0.139,  0.000,  0.000,  0.000, -0.008
 -0.001,   4400,   4532,  0.753,  0.059,  0.141,  0.000,  0.000,  0.000,  0.000
 -0.001,   4403,   4533,  0.753,  0.059,  0.139,  0.000,  0.000,  0.000, -0.008
 -0.001,   4406,   4536,  0.753,  0.059,  0.139,  0.000,  0.000,  0.000,  0.000
 -0.001,   4410,   4540,  0.754,  0.059,  0.139,  0.000,  0.000,  0.000,  0.025
