IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      1,  0.000,  0.000,  0.001,  0.012, -0.000
 -0.000,     18,     23,  0.003,  0.000,  0.005,  0.042, -0.000
 -0.000,     57,     65,  0.010,  0.000,  0.009,  0.063, -0.000
 -0.000,    120,    126,  0.021,  0.000,  0.006,  0.079, -0.000
 -0.000,    199,    206,  0.034,  0.000,  0.007,  0.093, -0.000
 -0.000,    296,    303,  0.051,  0.000,  0.007,  0.108, -0.000
 -0.000,    411,    416,  0.070,  0.000,  0.005,  0.117, -0.004
 -0.000,    537,    544,  0.091,  0.001,  0.007,  0.125, -0.006
 -0.000,    671,    676,  0.114,  0.001,  0.005,  0.131, -0.008
 -0.000,    807,    814,  0.137,  0.001,  0.007,  0.133, -0.008
 -0.000,    949,    954,  0.161,  0.001,  0.005,  0.135, -0.007
 -0.000,   1090,   1095,  0.185,  0.001,  0.005,  0.136, -0.008
 -0.000,   1234,   1237,  0.209,  0.001,  0.003,  0.133, -0.007
 -0.000,   1375,   1377,  0.233,  0.001,  0.002,  0.129, -0.009
 -0.000,   1511,   1512,  0.256,  0.001,  0.001,  0.125, -0.008
 -0.000,   1645,   1645,  0.278,  0.001, -0.000,  0.116, -0.009
 -0.000,   1770,   1768,  0.299,  0.001, -0.002,  0.111, -0.007
 -0.000,   1888,   1884,  0.319,  0.001, -0.004,  0.102, -0.008
 -0.000,   1999,   1993,  0.338,  0.001, -0.006,  0.093, -0.006
 -0.000,   2112,   2106,  0.355,  0.001, -0.007,  0.088, -0.004
 -0.000,   2209,   2202,  0.372,  0.001, -0.007,  0.084, -0.005
 -0.000,   2300,   2292,  0.388,  0.001, -0.009,  0.080, -0.001
 -0.000,   2390,   2380,  0.403,  0.001, -0.011,  0.076, -0.003
 -0.000,   2473,   2464,  0.418,  0.001, -0.010,  0.072,  0.001
 -0.000,   2553,   2546,  0.431,  0.000, -0.007,  0.068,  0.002
 -0.000,   2631,   2623,  0.444,  0.000, -0.009,  0.061,  0.003
 -0.000,   2703,   2693,  0.456,  0.000, -0.011,  0.058,  0.004
 -0.000,   2768,   2759,  0.467,  0.000, -0.010,  0.053,  0.005
 -0.000,   2828,   2821,  0.478,  0.000, -0.007,  0.048,  0.005
 -0.000,   2885,   2878,  0.487, -0.000, -0.007,  0.045,  0.005
 -0.000,   2938,   2933,  0.497, -0.000, -0.005,  0.042,  0.007
 -0.000,   2989,   2985,  0.505, -0.000, -0.004,  0.040,  0.007
 -0.000,   3035,   3033,  0.513, -0.000, -0.002,  0.038,  0.008
 -0.000,   3081,   3079,  0.521, -0.000, -0.002,  0.036,  0.009
 -0.000,   3126,   3124,  0.529, -0.000, -0.002,  0.033,  0.007
 -0.000,   3164,   3165,  0.535, -0.000,  0.001,  0.029,  0.009
 -0.000,   3202,   3202,  0.542, -0.000, -0.000,  0.028,  0.008
 -0.000,   3236,   3238,  0.548, -0.000,  0.002,  0.000,  0.000
 -0.000,   3264,   3228,  0.549, -0.000, -0.038,  0.000, -0.314
 -0.000,   3292,   3211,  0.550, -0.000, -0.087,  0.000, -0.314
 -0.000,   3318,   3192,  0.551, -0.000, -0.135,  0.000, -0.314
 -0.000,   3344,   3173,  0.551, -0.000, -0.183,  0.000, -0.314
 -0.000,   3371,   3153,  0.552, -0.001, -0.233,  0.000, -0.314
 -0.000,   3400,   3131,  0.552, -0.001, -0.287,  0.000, -0.314
 -0.000,   3429,   3109,  0.553, -0.001, -0.342,  0.000, -0.314
 -0.000,   3457,   3086,  0.553, -0.001, -0.396,  0.000, -0.314
 -0.000,   3487,   3061,  0.554, -0.001, -0.455,  0.000, -0.314
