IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN
  0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      1,      0,  0.000, -0.000, -0.001,  0.029, -0.000
 -0.001,     33,     35,  0.006,  0.000,  0.002,  0.084, -0.000
 -0.001,    112,    117,  0.019,  0.000,  0.005,  0.125, -0.000
 -0.001,    243,    248,  0.042,  0.000,  0.005,  0.156, -0.000
 -0.001,    409,    410,  0.069,  0.000,  0.001,  0.182, -0.000
 -0.001,    599,    598,  0.101,  0.000, -0.001,  0.197, -0.002
 -0.001,    808,    805,  0.136,  0.000, -0.003,  0.211, -0.003
 -0.001,   1026,   1020,  0.173,  0.000, -0.006,  0.218, -0.004
 -0.001,   1254,   1244,  0.211, -0.000, -0.011,  0.221, -0.001
 -0.001,   1483,   1473,  0.250, -0.001, -0.011,  0.214, -0.001
 -0.001,   1709,   1693,  0.288, -0.001, -0.017,  0.198,  0.001
 -0.001,   1918,   1902,  0.323, -0.002, -0.017,  0.182,  0.004
 -0.001,   2114,   2094,  0.356, -0.002, -0.021,  0.167,  0.008
 -0.001,   2295,   2269,  0.386, -0.003, -0.028,  0.152,  0.010
 -0.001,   2460,   2431,  0.414, -0.004, -0.031,  0.134,  0.016
 -0.001,   2607,   2576,  0.438, -0.005, -0.033,  0.123,  0.018
 -0.001,   2740,   2708,  0.461, -0.006, -0.034,  0.108,  0.023
 -0.001,   2861,   2828,  0.481, -0.006, -0.035,  0.097,  0.031
 -0.001,   2969,   2936,  0.499, -0.007, -0.035,  0.084,  0.038
 -0.001,   3063,   3032,  0.515, -0.008, -0.033,  0.074,  0.046
 -0.001,   3145,   3120,  0.530, -0.008, -0.027,  0.063,  0.056
 -0.001,   3219,   3199,  0.543, -0.008, -0.021,  0.053,  0.067
 -0.001,   3280,   3268,  0.554, -0.008, -0.013,  0.046,  0.076
 -0.001,   3336,   3335,  0.563, -0.009, -0.001,  0.042,  0.083
 -0.001,   3402,   3313,  0.568, -0.009, -0.080,  0.000, -0.785
 -0.001,   3471,   3260,  0.569, -0.009, -0.213,  0.000, -0.785
 -0.001,   3539,   3204,  0.570, -0.009, -0.358,  0.000, -0.785
 -0.001,   3606,   3146,  0.571, -0.009, -0.491,  0.000, -0.785
 -0.001,   3673,   3088,  0.571, -0.010, -0.625,  0.000, -0.785
 -0.001,   3743,   3028,  0.572, -0.010, -0.764,  0.000, -0.785
 -0.001,   3810,   2965,  0.572, -0.011, -0.902,  0.000, -0.785
 -0.001,   3880,   2903,  0.573, -0.011, -1.043,  0.000, -0.785
 -0.001,   3946,   2843,  0.573, -0.012, -1.178,  0.000, -0.461
 -0.001,   3991,   2802,  0.573, -0.012, -1.270,  0.000, -0.400
 -0.001,   4030,   2769,  0.573, -0.013, -1.347,  0.000, -0.317
 -0.001,   4060,   2742,  0.573, -0.013, -1.408,  0.000, -0.253
 -0.001,   4086,   2719,  0.573, -0.013, -1.460,  0.000, -0.189
 -0.001,   4107,   2701,  0.573, -0.013, -1.502,  0.000, -0.141
 -0.001,   4123,   2689,  0.573, -0.014, -1.531,  0.000, -0.092
 -0.001,   4135,   2679,  0.573, -0.014, -1.555,  0.000, -0.065
 -0.001,   4141,   2671,  0.573, -0.014, -1.570,  0.000, -0.032
 -0.001,   4149,   2674,  0.573, -0.015, -1.575,  0.046, -0.012
 -0.001,   4192,   2719,  0.573, -0.022, -1.573,  0.095,  0.012
 -0.001,   4293,   2814,  0.573, -0.039, -1.579,  0.132,  0.031
 -0.001,   4434,   2951,  0.573, -0.062, -1.584,  0.163,  0.048
