IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,     10,      8,  0.002, -0.000, -0.002,  0.037, -0.000
 -0.001,     51,     46,  0.008, -0.000, -0.005,  0.083, -0.000
 -0.001,    140,    137,  0.023, -0.000, -0.003,  0.128, -0.000
 -0.001,    276,    276,  0.047, -0.000, -0.000,  0.162, -0.000
 -0.001,    444,    452,  0.076, -0.000,  0.009,  0.181, -0.000
 -0.001,    638,    650,  0.109,  0.000,  0.013,  0.201, -0.000
 -0.001,    848,    867,  0.145,  0.001,  0.020,  0.211, -0.000
 -0.001,   1073,   1097,  0.184,  0.002,  0.026,  0.227,  0.007
 -0.001,   1308,   1340,  0.224,  0.003,  0.034,  0.237,  0.002
 -0.001,   1580,   1621,  0.266,  0.005,  0.044,  0.246,  0.001
 -0.001,   1807,   1856,  0.310,  0.007,  0.052,  0.248, -0.003
 -0.001,   2090,   2147,  0.354,  0.009,  0.062,  0.237, -0.009
 -0.001,   2340,   2400,  0.396,  0.012,  0.063,  0.226, -0.012
 -0.001,   2574,   2636,  0.440,  0.015,  0.066,  0.204, -0.020
 -0.001,   2794,   2856,  0.474,  0.017,  0.066,  0.183, -0.030
 -0.001,   2993,   3057,  0.511,  0.020,  0.068,  0.167, -0.037
 -0.001,   3173,   3238,  0.542,  0.022,  0.069,  0.151, -0.045
 -0.001,   3338,   3400,  0.569,  0.023,  0.066,  0.130, -0.060
 -0.001,   3483,   3536,  0.593,  0.025,  0.057,  0.103, -0.080
 -0.001,   3612,   3654,  0.612,  0.026,  0.047,  0.086, -0.097
 -0.001,   3720,   3746,  0.631,  0.027,  0.028,  0.069, -0.121
 -0.001,   3812,   3816,  0.644,  0.027,  0.004,  0.047, -0.173
 -0.001,   3901,   3806,  0.651,  0.027, -0.101,  0.000, -0.753
 -0.001,   3987,   3748,  0.653,  0.026, -0.255,  0.000, -0.780
 -0.001,   4055,   3680,  0.653,  0.026, -0.400,  0.000, -0.799
 -0.001,   4123,   3612,  0.653,  0.026, -0.546,  0.000, -0.809
 -0.001,   4196,   3542,  0.654,  0.026, -0.698,  0.000, -0.814
 -0.001,   4267,   3472,  0.654,  0.026, -0.849,  0.000, -0.815
 -0.001,   4336,   3401,  0.654,  0.026, -0.999,  0.000, -0.778
 -0.001,   4404,   3333,  0.654,  0.026, -1.144,  0.000, -0.722
